,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler,Web TÜFE
2025-11-26,,,,,,,,,,,,,
2025-11-27,,,,,,,,,,,,,
2025-11-28,,,,,,,,,,,,,
2025-11-29,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,
2025-12-01,,,,,,,,,,,,,
2025-12-02,,,,,,,,,,,,,
2025-12-03,,,,,,,,,,,,,
2025-12-04,,,,,,,,,,,,,
2025-12-05,,,,,,,,,,,,,
2025-12-06,,,,,,,,,,,,,
2025-12-07,,,,,,,,,,,,,
2025-12-08,,,,,,,,,,,,,
2025-12-09,,,,,,,,,,,,,
2025-12-10,,,,,,,,,,,,,
2025-12-11,,,,,,,,,,,,,
2025-12-12,,,,,,,,,,,,,
2025-12-13,,,,,,,,,,,,,
2025-12-14,,,,,,,,,,,,,
2025-12-15,,,,,,,,,,,,,
2025-12-16,,,,,,,,,,,,,
2025-12-17,,,,,,,,,,,,,
2025-12-18,,,,,,,,,,,,,
2025-12-19,,,,,,,,,,,,,
2025-12-20,,,,,,,,,,,,,
2025-12-21,,,,,,,,,,,,,
2025-12-22,,,,,,,,,,,,,
2025-12-23,,,,,,,,,,,,,
2025-12-24,,,,,,,,,,,,,
2025-12-25,,,,,,,,,,,,,
2025-12-26,,,,,,,,,,,,,
2025-12-27,,,,,,,,,,,,,
2025-12-28,,,,,,,,,,,,,
2025-12-29,,,,,,,,,,,,,
2025-12-30,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,
2026-01-01,30.417791926597992,23.257838998967074,64.8836856259453,15.899671881043286,24.51698635745658,30.274748694795296,7.405629989377727,44.484948583235884,33.79163238752649,-2.0212214308579557,23.173433835432466,34.75510794532555,30.05906117835273
2026-01-02,30.99869845154408,23.479360689119034,64.8836856259453,15.922426381845657,24.663652600520614,31.518675697756436,7.399446460633952,44.56534816478023,34.07247636921042,-1.9946796881865625,23.269973633274056,36.2230230187772,30.537164064261546
2026-01-03,31.065087768680776,23.809052597245973,64.8836856259453,16.104033444605914,25.06810104492042,31.43600343763948,7.405954332796682,44.700212655637415,34.54911332322956,-1.9636444092708316,23.5866186447266,36.54823846470727,30.70924734856585
2026-01-04,31.098282427249103,23.948632996355954,64.88368562594532,16.173450490833574,25.416686230528807,31.500977619080906,7.42088719540801,44.778054141060096,34.63789723262789,-1.976102641377775,24.278108339977578,36.75691050551809,30.915387409506813
2026-01-05,31.118199222390118,24.110320911459063,64.88368562594532,16.45868912020002,25.664331976718977,32.579511600276504,7.455244470303846,44.87360100635736,34.8698209784569,-1.79282494400822,24.33390260361572,36.946547556555466,31.290436093084175
2026-01-06,31.13147708581745,24.132926035088573,64.88368562594533,16.554092970493073,25.676071185815708,32.579687381933766,7.468352280051171,45.012305316848334,34.9537921990009,-1.784885200105718,24.388767950846013,37.13917084747102,31.34038023126644
2026-01-07,31.14096127397982,24.276615754722275,64.88368562594533,16.63426047219515,25.855364797530655,32.775526527361606,7.504298699760604,45.14951296803635,35.30941771720333,-1.7531464428332033,24.494763866647006,37.372120429761964,31.495666965218014
2026-01-08,31.148074415101647,24.3174983081051,64.8836856259453,17.22458587511001,25.76932356108921,32.82275205384699,7.503592574809503,45.25939059737123,35.47665467293788,-1.7376088315734617,24.73179621065139,37.45089018205508,31.600751333576646
2026-01-09,31.15360685819637,24.366531160033986,64.8836856259453,17.284113443424786,25.87622628972953,32.86869163096438,7.540274634427746,45.347517761603044,35.88812842393396,-1.7342158633355198,24.853838567825846,37.477515079198824,31.694924547455663
2026-01-10,31.158032812672165,24.44367403084128,64.8836856259453,17.411894924296377,25.937503167901454,32.81070989646629,7.578898236760612,45.44056915565439,35.933016018176076,-1.7232661387467596,24.9637070121438,37.563709106602694,31.73690273183476
2026-01-11,31.161654048152364,24.499407918107696,64.88368562594533,17.52782094491844,26.134475066885656,32.933188313583805,7.584912077944739,45.50947125386347,36.06263089609767,-1.708161978314121,24.912945164867573,37.59185317808095,31.80319151384159
2026-01-12,31.164671744385853,24.55448904304063,64.88368562594533,17.59813828361203,26.22555919150964,33.27812858454136,7.593186161428822,45.59955760996175,36.18412316638178,-1.7064741222201918,24.908120147172816,37.642440624209996,31.927088075441347
2026-01-13,31.23086022241278,24.61458380960141,64.88368562594533,18.003030652390105,26.409288030131414,33.6350781137201,7.718151199186329,45.67327306577475,36.258467479282714,-1.698562852209784,25.10057478057127,37.64850313158901,32.10836140583269
